event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2011-02-13 17:28:00,2011-02-13 17:38:00,2011-02-13 17:47:00,M6.6,11158
2011-02-14 17:20:00,2011-02-14 17:26:00,2011-02-14 17:32:00,M2.2,11158
2011-02-15 01:44:00,2011-02-15 01:56:00,2011-02-15 02:06:00,X2.2,11158
